"trial_1","trial_2","trial_3","trial_4","trial_5","trial_6","trial_7","trial_8","trial_9","trial_10","trial_11","trial_12","trial_13","trial_14","trial_15","trial_16","trial_17","trial_18","trial_19","trial_20","trial_21","trial_22","trial_23","trial_24","trial_25","trial_26","trial_27","trial_28","trial_29","trial_30","trial_31","trial_32","trial_33","trial_34","trial_35","trial_36","trial_37","trial_38","trial_39","trial_40","trial_41","trial_42","trial_43","trial_44","trial_45","trial_46","trial_47","trial_48","trial_49","trial_50","trial_51","trial_52","trial_53","trial_54","trial_55","trial_56","trial_57","trial_58","trial_59","trial_60","trial_61","trial_62","trial_63","trial_64","trial_65","trial_66","trial_67","trial_68","trial_69","trial_70","trial_71","trial_72","trial_73","trial_74","trial_75","trial_76","trial_77","trial_78","trial_79","trial_80","trial_81","trial_82","trial_83","trial_84","trial_85","trial_86","trial_87","trial_88","trial_89","trial_90","trial_91","trial_92","trial_93","trial_94","trial_95","trial_96","trial_97","trial_98","trial_99","trial_100"
0.435,0.4102,0.4102,0.435,0.5771,0.4021,0.3998,0.4021,0.4181,0.391,0.4028,0.4181,0.4181,0.4028,0.4021,0.4181,0.4021,0.391,0.4102,0.3998,0.391,0.4028,0.435,0.391,0.435,0.391,0.4181,0.3883,0.4079,0.3998,0.3883,0.3883,0.4021,0.4028,0.391,0.4028,0.4102,0.4102,0.3883,0.4102,0.4021,0.4028,0.4021,0.4028,0.391,0.4021,0.3998,0.3883,0.4176,0.4176,0.4028,0.4102,0.3998,0.4028,0.4079,0.409,0.4102,0.4028,0.3998,0.4102,0.4181,0.391,0.391,0.3998,0.4021,0.4102,0.4021,0.402,0.435,0.391,0.4028,0.435,0.3998,0.4102,0.4091,0.4028,0.4176,0.4028,0.4102,0.4181,0.4021,0.3883,0.5771,0.4181,0.4021,0.4028,0.3998,0.4102,0.4181,0.4021,0.4102,0.4079,0.4102,0.4181,0.4181,0.4028,0.391,0.435,0.4176,0.4021
0.4079,0.4181,0.4181,0.4079,0.3937,0.4028,0.4079,0.4028,0.435,0.4102,0.4102,0.3998,0.3998,0.4102,0.4028,0.435,0.4102,0.4021,0.4181,0.435,0.4021,0.4102,0.3937,0.4021,0.4091,0.4028,0.3998,0.391,0.4091,0.4079,0.4028,0.4021,0.4028,0.4181,0.4028,0.4102,0.4181,0.4181,0.391,0.4181,0.4028,0.4181,0.4102,0.4102,0.4102,0.4028,0.4079,0.4021,0.3883,0.3883,0.4102,0.4181,0.435,0.4102,0.4091,0.3883,0.3998,0.4102,0.435,0.4181,0.3998,0.4021,0.4102,0.4079,0.4028,0.4181,0.4028,0.4009,0.4079,0.4021,0.4102,0.4091,0.435,0.4181,0.3937,0.4102,0.3883,0.4102,0.4181,0.3998,0.4102,0.391,0.3937,0.3998,0.4028,0.4181,0.4079,0.4181,0.3998,0.4028,0.4181,0.4091,0.4181,0.3998,0.3998,0.4102,0.4021,0.4091,0.3883,0.4181
0.4091,0.4079,0.435,0.4091,0.402,0.3998,0.4091,0.3998,0.4079,0.3998,0.4181,0.435,0.4079,0.4181,0.4102,0.4079,0.4181,0.4028,0.3998,0.4079,0.4028,0.4181,0.402,0.4181,0.5771,0.4181,0.435,0.4028,0.3937,0.4091,0.4181,0.4181,0.4102,0.3998,0.4102,0.3937,0.435,0.3998,0.4102,0.3998,0.4102,0.3998,0.4181,0.4181,0.4181,0.4102,0.4091,0.4028,0.391,0.391,0.4181,0.4079,0.4091,0.4181,0.3937,0.391,0.435,0.4181,0.4079,0.4091,0.435,0.4028,0.435,0.4091,0.4091,0.3998,0.4181,0.4138,0.5771,0.4028,0.3998,0.5771,0.4079,0.3998,0.3995,0.435,0.391,0.4181,0.3998,0.435,0.4181,0.4021,0.402,0.435,0.4102,0.435,0.4091,0.3998,0.5771,0.4102,0.3998,0.5771,0.3998,0.435,0.435,0.435,0.4028,0.5771,0.391,0.3998
0.402,0.5771,0.4079,0.402,0.4009,0.435,0.5771,0.435,0.4009,0.435,0.435,0.4079,0.402,0.3998,0.4079,0.4091,0.4079,0.4102,0.4079,0.4091,0.4102,0.3998,0.4228,0.3998,0.3937,0.3998,0.4079,0.4102,0.402,0.5771,0.3998,0.3998,0.4181,0.4091,0.4181,0.402,0.4091,0.4079,0.4181,0.435,0.4181,0.435,0.4091,0.435,0.3998,0.4181,0.5771,0.4102,0.4028,0.4021,0.3998,0.5771,0.5771,0.3998,0.402,0.4028,0.4079,0.3998,0.4091,0.402,0.4079,0.4181,0.4079,0.3937,0.402,0.435,0.435,0.4075,0.402,0.4102,0.435,0.3937,0.4091,0.435,0.4009,0.4079,0.4021,0.435,0.435,0.4079,0.3998,0.4102,0.3995,0.4091,0.4181,0.4079,0.3937,0.4079,0.3937,0.4181,0.435,0.3937,0.435,0.5771,0.5771,0.4079,0.4102,0.4009,0.4021,0.435
0.3995,0.3937,0.5771,0.4009,0.4138,0.3937,0.3937,0.4079,0.4228,0.5771,0.4079,0.4091,0.3995,0.435,0.4091,0.402,0.4091,0.4181,0.4091,0.5771,0.4181,0.4079,0.4844,0.435,0.402,0.4091,0.4091,0.4181,0.4009,0.3937,0.435,0.435,0.3998,0.3937,0.435,0.3995,0.5771,0.4091,0.4079,0.4079,0.3998,0.4079,0.5771,0.3937,0.435,0.3998,0.402,0.4181,0.4181,0.4028,0.435,0.3937,0.4009,0.435,0.3995,0.4102,0.4091,0.435,0.5771,0.3995,0.4091,0.3998,0.4091,0.402,0.4009,0.4079,0.4091,0.4228,0.4138,0.4181,0.4079,0.402,0.5771,0.4079,0.4138,0.5771,0.4028,0.4079,0.4079,0.4091,0.435,0.4181,0.4138,0.5771,0.435,0.4091,0.402,0.5771,0.402,0.3998,0.4079,0.3995,0.4091,0.3937,0.402,0.4091,0.4181,0.4138,0.4028,0.4079
0.4009,0.402,0.3937,0.4138,0.4075,0.402,0.3995,0.4091,0.4245,0.4009,0.4091,0.5771,0.4009,0.4079,0.3937,0.4009,0.5771,0.435,0.5771,0.3937,0.3998,0.5771,0.4945,0.4091,0.3995,0.5771,0.5771,0.3998,0.4138,0.3995,0.4079,0.4079,0.435,0.3995,0.4079,0.4009,0.3995,0.5771,0.3937,0.4091,0.435,0.3995,0.402,0.402,0.4079,0.4079,0.3995,0.3998,0.435,0.435,0.4079,0.402,0.4138,0.5771,0.4009,0.4181,0.5771,0.4079,0.3937,0.4009,0.3937,0.4079,0.5771,0.3995,0.4075,0.4091,0.5771,0.4844,0.4075,0.435,0.4091,0.3995,0.3937,0.4091,0.4228,0.3937,0.4102,0.4091,0.3937,0.5771,0.4079,0.4079,0.4075,0.3937,0.4079,0.5771,0.3995,0.402,0.4009,0.4079,0.4091,0.4009,0.5771,0.402,0.4138,0.3937,0.3998,0.4075,0.4102,0.4091
0.4075,0.3995,0.402,0.4075,0.4228,0.3995,0.4009,0.5771,0.4844,0.4075,0.3937,0.3937,0.4138,0.402,0.402,0.4138,0.3937,0.4079,0.3937,0.402,0.5771,0.3937,0.4614,0.5771,0.4009,0.4009,0.3937,0.435,0.4075,0.4009,0.4091,0.4091,0.4079,0.4009,0.4091,0.4138,0.4009,0.3937,0.402,0.3995,0.4079,0.4009,0.3995,0.4009,0.402,0.4091,0.4009,0.435,0.4079,0.4091,0.5771,0.3995,0.4075,0.3937,0.4138,0.3998,0.3937,0.4091,0.402,0.4075,0.402,0.5771,0.3937,0.4138,0.4228,0.5771,0.402,0.4945,0.4228,0.4079,0.5771,0.4228,0.4075,0.5771,0.4945,0.4138,0.4181,0.5771,0.402,0.3937,0.5771,0.4091,0.4228,0.402,0.3937,0.402,0.4009,0.4009,0.4138,0.5771,0.5771,0.4075,0.402,0.3995,0.4075,0.402,0.435,0.4228,0.435,0.5771
0.4245,0.4009,0.3995,0.4228,0.4245,0.4075,0.4138,0.402,0.4401,0.4228,0.402,0.4009,0.4228,0.3995,0.3995,0.4075,0.402,0.5771,0.402,0.3995,0.3937,0.3995,0.5814,0.3937,0.4228,0.4138,0.3995,0.4079,0.4228,0.4138,0.5771,0.3937,0.3995,0.4245,0.3937,0.4075,0.4138,0.402,0.3995,0.4009,0.4091,0.4228,0.4009,0.4138,0.3995,0.5771,0.4138,0.4079,0.4091,0.5771,0.3937,0.4009,0.4228,0.3995,0.4245,0.435,0.402,0.5771,0.3995,0.4228,0.3995,0.3937,0.3995,0.4075,0.4245,0.402,0.4138,0.4401,0.4245,0.4091,0.402,0.4844,0.4228,0.3995,0.4401,0.4075,0.5771,0.3937,0.3995,0.402,0.3937,0.5771,0.4245,0.3995,0.402,0.4009,0.4138,0.4138,0.4075,0.3937,0.402,0.4228,0.3995,0.4009,0.4228,0.3995,0.5771,0.4245,0.4079,0.3937
0.4844,0.4138,0.4009,0.4844,0.4844,0.4945,0.4844,0.3995,0.4848,0.4245,0.3995,0.4138,0.4245,0.4009,0.4009,0.4614,0.4009,0.3937,0.3995,0.4009,0.3995,0.4075,0.6824,0.402,0.4945,0.4075,0.4009,0.4091,0.4245,0.4245,0.3995,0.402,0.4009,0.4844,0.402,0.4228,0.4075,0.3995,0.4009,0.4138,0.5771,0.4245,0.4075,0.4075,0.4138,0.3937,0.4228,0.3937,0.5771,0.3937,0.402,0.4228,0.4945,0.4009,0.4945,0.4079,0.3995,0.3937,0.4009,0.4245,0.4009,0.402,0.4009,0.4844,0.4844,0.4009,0.4228,0.4848,0.4945,0.3937,0.3995,0.4401,0.4844,0.4009,0.4848,0.4245,0.3995,0.3995,0.4009,0.4009,0.3995,0.3937,0.4844,0.4138,0.3995,0.4138,0.4075,0.4228,0.4245,0.3995,0.3995,0.4245,0.4245,0.4138,0.4844,0.4009,0.3937,0.4844,0.4091,0.402
0.4945,0.4228,0.4075,0.4945,0.4848,0.4848,0.4945,0.4009,0.5814,0.4844,0.4075,0.4075,0.4945,0.4138,0.4075,0.5814,0.4138,0.3995,0.4075,0.4138,0.4009,0.4228,0.4918,0.3995,0.4401,0.4945,0.4138,0.5771,0.4844,0.4844,0.4009,0.3995,0.4138,0.4945,0.3995,0.4245,0.4228,0.4245,0.4138,0.4228,0.3937,0.4945,0.4945,0.4228,0.4075,0.402,0.4245,0.402,0.402,0.402,0.3995,0.4844,0.4848,0.4228,0.4401,0.4091,0.4844,0.402,0.4138,0.4844,0.4245,0.4009,0.4138,0.4945,0.4401,0.4138,0.4245,0.4614,0.4848,0.402,0.4009,0.4848,0.4401,0.4228,0.4614,0.4844,0.4009,0.4009,0.4138,0.4228,0.4009,0.3995,0.4945,0.4075,0.4009,0.4075,0.4228,0.4844,0.4614,0.4009,0.4138,0.4401,0.4844,0.4075,0.4401,0.4138,0.3995,0.4945,0.5771,0.3995
0.4401,0.4245,0.4245,0.4401,0.4614,0.4614,0.4401,0.4138,0.6824,0.4945,0.4228,0.4245,0.4401,0.4075,0.4228,0.6824,0.4075,0.4075,0.4228,0.4075,0.4228,0.4245,0.7133,0.4138,0.4614,0.4401,0.4075,0.3937,0.4945,0.4848,0.4138,0.4228,0.4075,0.4614,0.4009,0.4844,0.4245,0.4844,0.4075,0.4245,0.402,0.4614,0.4614,0.4245,0.4844,0.3995,0.4945,0.3995,0.3995,0.3995,0.4009,0.4945,0.4614,0.4245,0.4848,0.5771,0.4945,0.4075,0.4075,0.4945,0.4844,0.4075,0.4075,0.4848,0.4614,0.4075,0.4945,0.5814,0.4614,0.3995,0.4138,0.4614,0.4848,0.4844,0.5814,0.4945,0.4138,0.4138,0.4075,0.4245,0.4138,0.4009,0.4614,0.4228,0.4075,0.4228,0.4245,0.4848,0.4918,0.4075,0.4228,0.4614,0.4945,0.4245,0.4614,0.4075,0.4009,0.4848,0.402,0.4009
0.6824,0.4844,0.4844,0.4614,0.5814,0.5814,0.5814,0.4075,0.4918,0.4401,0.4844,0.4844,0.4614,0.4228,0.4245,0.4918,0.4844,0.4245,0.4245,0.4245,0.4844,0.4844,0.7084,0.4075,0.5814,0.4848,0.4228,0.402,0.4848,0.4614,0.4075,0.4844,0.4228,0.5814,0.4138,0.4945,0.4844,0.4945,0.4228,0.4844,0.3995,0.5814,0.6824,0.4844,0.4945,0.4009,0.4401,0.4009,0.4009,0.4009,0.4138,0.4848,0.6824,0.4844,0.4614,0.3937,0.4401,0.4228,0.4844,0.4401,0.4945,0.4228,0.4228,0.5814,0.5814,0.4245,0.4401,0.7084,0.4918,0.4009,0.4075,0.5814,0.4614,0.4401,0.6824,0.4848,0.4075,0.4075,0.4228,0.4844,0.4075,0.4228,0.5814,0.4245,0.4245,0.4945,0.4848,0.4614,0.7133,0.4228,0.4844,0.5814,0.4401,0.4844,0.7084,0.4228,0.4138,0.4614,0.3995,0.4075
0.4918,0.4945,0.4945,0.5814,0.4918,0.6824,0.6824,0.4844,0.7133,0.4848,0.4945,0.4945,0.5814,0.4245,0.4844,0.7133,0.4945,0.4945,0.4844,0.4614,0.4945,0.4945,0.7166,0.4228,0.4918,0.4614,0.4245,0.3995,0.4614,0.5814,0.4245,0.4945,0.4844,0.6824,0.4228,0.4848,0.4401,0.4848,0.4245,0.4945,0.4009,0.4918,0.7133,0.4945,0.4614,0.4138,0.4848,0.4138,0.4138,0.4138,0.4075,0.4614,0.7133,0.4945,0.5814,0.402,0.4848,0.4245,0.4614,0.4848,0.4401,0.4245,0.4844,0.6824,0.6824,0.4401,0.4848,0.7406,0.7133,0.4245,0.4228,0.6824,0.5814,0.4848,0.4918,0.4614,0.4245,0.4228,0.4844,0.4945,0.4245,0.4245,0.6824,0.4844,0.4844,0.4401,0.5814,0.5814,0.7084,0.4848,0.4401,0.6824,0.5814,0.4945,0.7166,0.4245,0.4075,0.5814,0.4009,0.4228
0.7084,0.4614,0.4401,0.4918,0.7133,0.4918,0.4918,0.4401,0.7166,0.6824,0.4401,0.4614,0.4918,0.4844,0.4945,0.6735,0.4401,0.4401,0.4945,0.5814,0.4401,0.4614,0.6722,0.4848,0.7133,0.5814,0.4945,0.4138,0.7166,0.4918,0.4844,0.4401,0.4945,0.4918,0.4245,0.4614,0.4614,0.4614,0.4844,0.4401,0.4138,0.6722,0.7084,0.4401,0.5814,0.4075,0.5814,0.4075,0.4228,0.4228,0.4844,0.5814,0.7084,0.4848,0.7133,0.3995,0.4614,0.4945,0.6824,0.4614,0.4614,0.4945,0.4945,0.4918,0.7133,0.4848,0.4614,0.6651,0.7084,0.4844,0.4245,0.4918,0.6824,0.6824,0.7133,0.5814,0.4844,0.4245,0.4945,0.4401,0.4844,0.4844,0.4918,0.4945,0.4945,0.4848,0.6824,0.7084,0.6735,0.4614,0.4614,0.4918,0.6824,0.4401,0.6722,0.4844,0.4228,0.6824,0.4138,0.4245
0.6735,0.5814,0.4848,0.7133,0.7084,0.7133,0.7133,0.5814,0.6722,0.4918,0.4614,0.5814,0.7133,0.4945,0.4401,0.7406,0.4848,0.5814,0.4848,0.4918,0.4848,0.5814,0.7406,0.4614,0.7084,0.6824,0.4848,0.4228,0.6735,0.7133,0.4945,0.4848,0.4401,0.7133,0.4401,0.5814,0.5814,0.5814,0.4945,0.4848,0.4075,0.6735,0.7799,0.4614,0.7133,0.4228,0.4918,0.4228,0.4844,0.4844,0.4401,0.6824,0.7166,0.5814,0.6722,0.4009,0.5814,0.4401,0.4918,0.5814,0.5814,0.5814,0.4401,0.7133,0.7166,0.4614,0.7166,0.6527,0.7166,0.4945,0.4844,0.7133,0.4918,0.4918,0.7166,0.6824,0.4945,0.4844,0.4848,0.4848,0.4945,0.4945,0.7133,0.4848,0.4848,0.4614,0.4918,0.7166,0.7406,0.5814,0.4918,0.7133,0.4918,0.4848,0.6735,0.4848,0.4245,0.7133,0.4075,0.4945
0.7406,0.6824,0.4614,0.7084,0.7166,0.7084,0.7166,0.7084,0.6735,0.6735,0.6824,0.7133,0.7084,0.4401,0.4614,0.7799,0.4918,0.6824,0.6824,0.7133,0.5814,0.6824,0.7799,0.7166,0.7166,0.4918,0.4614,0.4245,0.7406,0.7084,0.4614,0.4614,0.4614,0.7084,0.5814,0.6824,0.7133,0.6824,0.4848,0.4614,0.4228,0.7406,0.6651,0.5814,0.7084,0.4844,0.7133,0.4245,0.4945,0.4945,0.4848,0.4918,0.6722,0.7084,0.6735,0.4075,0.6824,0.4614,0.7084,0.7166,0.4918,0.6824,0.4848,0.7166,0.7406,0.6824,0.6722,0.3967,0.6735,0.4401,0.4945,0.7084,0.7133,0.7084,0.6722,0.4918,0.4401,0.4401,0.4614,0.5814,0.4401,0.4401,0.6722,0.4614,0.5814,0.5814,0.7133,0.6722,0.7799,0.6824,0.7133,0.7084,0.7133,0.5814,0.6625,0.4614,0.4844,0.7166,0.4228,0.4848
